Date,Altcoin_forecast,BIT_forecast,Bitcoin Address_forecast,Bitcoin Investment_forecast,Bitcoin Mining_forecast,Bitcoin News_forecast,Bitcoin Price_forecast,Bitcoin Wallet_forecast,Bitcoin_forecast,Block_forecast,Blockchain_forecast,BTC_forecast,Crypto_forecast,Cryptocurrency_forecast,Cryptography_forecast,DAPP_forecast,DeFi_forecast,Digital Currency_forecast,Ethereum_forecast,Fiat money_forecast,Fork_forecast,Hash Rate_forecast,ICO_forecast,P2P_forecast,Private Key_forecast,Stablecoin_forecast,Price_forecast
1/31/24,28.71744455,67.33223152,21.23884613,7.50225981,17.83357555,4.19614845,10.50381994,12.85510845,9.049843354,28.52217985,20.75224402,10.14788055,21.25778969,18.76276944,32.73810294,28.11800704,5.622482433,4.437335502,10.61096888,6.858756394,41.80866435,6.657265618,46.58189366,49.29198423,44.70228448,1.337747011,41333.62118
2/1/24,24.77739479,65.71505392,21.34291907,-1.665197882,17.54559878,2.520407043,9.280750858,-0.216096379,6.769885461,27.77387645,21.91504134,7.66168865,19.23471088,17.58502088,29.9601517,26.13969841,8.753723397,4.942422242,7.180225918,9.324586492,39.45422362,-0.375696793,50.07577468,45.97520048,48.38759596,3.480343352,41506.84162
2/2/24,26.13539626,65.96268182,22.10042317,-2.671032477,15.86354372,-0.578019321,7.495906472,6.144761984,5.385802725,27.90988343,23.8483563,5.666258542,18.86775515,16.55662624,32.23180918,26.96431267,-1.892221858,3.983966843,6.790157283,12.77131209,41.69429025,2.005907211,46.95667688,49.38682884,49.08847869,3.602121022,41372.53606
2/3/24,28.47674898,66.95817194,23.34384726,0.490118051,17.96530817,3.217900222,8.096652523,6.186040175,7.149541906,27.50217857,21.77522048,7.957339049,21.45754786,18.95825309,30.99496739,30.67015668,0.801134049,5.31763631,9.644209219,10.06573159,41.0334288,1.691221104,45.49586803,52.68134343,49.97970405,2.542379917,41475.03559
2/4/24,28.05053243,65.08582353,24.07793025,-2.400957548,16.83989249,4.556942296,8.554367187,4.342392455,7.507041189,26.71219816,21.77548507,8.372178769,20.77178633,18.73320479,29.37412758,31.10542355,1.087708397,5.293818807,8.562636208,11.19742083,41.32504946,1.858068383,46.56153048,49.35329079,47.03887635,2.422461914,41281.50093
2/5/24,27.45409341,66.85192107,23.03849485,0.864363833,15.37261824,2.258290885,8.013513848,1.972440748,6.792411499,26.06737116,19.05353671,7.8472079,19.11157592,16.99420476,24.14032231,29.2094192,0.102774829,4.956511613,6.806204656,7.837554161,43.83300737,2.557490913,43.18196304,41.4815685,35.73782592,1.693531756,41553.20178
2/6/24,28.42045666,67.61059622,22.9032936,4.776253375,17.34079166,4.021233456,8.827333307,6.139212582,7.782177617,26.32898813,18.50964588,9.199686239,20.21405298,18.06253155,23.73544091,26.93499992,2.534225694,4.048927935,8.429645558,9.077245522,43.25382973,2.48508755,41.759359,42.47789276,36.15279988,1.595651311,41573.14716
2/7/24,28.45553683,66.79875467,22.55700652,0.7685492,16.94350581,2.602971408,8.354822757,5.173698232,7.068539977,27.55964575,21.12196319,8.227317693,19.54231577,17.31001705,28.4715067,27.40978081,1.54336089,4.351889696,7.077981418,9.948049298,42.62691409,0.97000482,44.90895265,46.02106706,41.91736904,2.121514032,41715.70061
2/8/24,25.19303511,66.37446073,23.86956441,1.80957849,17.04886949,3.206447233,9.067799889,4.782158336,7.668492565,27.38148464,21.93973813,8.857532518,20.19781862,17.79807021,31.3822134,27.41950179,2.873227337,5.021411231,7.86752113,9.659418652,41.16310503,2.307316019,46.09134439,48.1641598,47.97222889,3.027956113,41638.19728
2/9/24,26.73660851,66.77065463,22.0367383,-0.749214365,17.2342413,3.512682248,9.087722467,4.530939048,7.899733153,27.40563269,22.93937226,9.024019652,20.87268419,18.50329068,32.17407884,28.78345163,2.12246794,5.203233177,8.19311642,10.24860671,40.9190083,1.840385876,46.01178678,50.39596703,49.48172962,3.532687914,41610.11141